time,ax,ay,az,atotal
0.005176067352294922,-0.19,-0.02,0.15,0.24
0.006918191909790039,-0.28,0.0,-0.04,0.28
0.008578062057495117,-0.22,0.1,0.07,0.25
0.011379003524780273,-0.07,0.1,0.04,0.12
0.013905048370361328,0.13,0.06,-0.07,0.15
0.016509056091308594,0.44,-0.18,-0.12,0.49
0.019056081771850586,0.55,-0.06,-0.18,0.58
0.021749019622802734,0.44,0.14,-0.26,0.52
0.02326202392578125,0.33,0.11,-0.09,0.35
0.03284811973571777,0.21,-0.03,-0.02,0.21
0.10012507438659668,0.13,-0.08,0.01,0.15
0.10213804244995117,0.07,0.04,0.15,0.17
0.10368108749389648,0.01,0.14,0.23,0.26
0.10669398307800293,-0.04,0.17,0.25,0.3
0.1082160472869873,0.04,0.17,0.09,0.19
0.12496018409729004,0.2,0.09,0.0,0.21
0.12677407264709473,0.21,0.11,0.07,0.24
0.12936091423034668,0.08,0.07,0.13,0.16
0.132066011428833,-0.04,0.02,0.2,0.2
0.13471102714538574,-0.07,0.01,0.21,0.22
0.19977998733520508,-0.06,0.08,0.21,0.23
0.20172500610351562,0.04,0.14,0.15,0.2
0.20325899124145508,0.03,0.26,0.2,0.32
0.20646405220031738,-0.05,0.22,0.13,0.26
0.2080080509185791,-0.25,0.31,0.05,0.4
0.21093297004699707,-0.28,0.46,0.06,0.54
0.21334004402160645,-0.15,0.49,-0.03,0.51
0.21593689918518066,-0.1,-0.07,0.22,0.25
0.22152400016784668,-0.18,-0.2,-0.01,0.26
0.2316570281982422,-0.1,-0.07,0.15,0.19
0.24122118949890137,0.07,-0.02,0.06,0.09
0.3032081127166748,0.1,0.06,-0.04,0.12
0.30501818656921387,0.08,0.18,0.05,0.2
0.3065509796142578,0.08,0.16,0.07,0.19
0.3094961643218994,0.06,0.11,0.07,0.14
0.3119809627532959,0.03,0.07,0.2,0.21
0.3146650791168213,0.06,0.03,0.25,0.25
0.3170790672302246,0.05,0.06,0.24,0.25
0.32051587104797363,0.05,0.08,0.26,0.27
0.33097004890441895,0.06,0.11,0.25,0.27
0.340487003326416,0.03,0.15,0.21,0.25
0.4020390510559082,0.03,0.13,0.23,0.26
0.40367698669433594,0.0,0.07,0.14,0.15
0.40525317192077637,-0.1,0.02,0.1,0.14
0.40749192237854004,-0.18,0.01,0.21,0.27
0.4259011745452881,-0.24,0.01,0.16,0.28
0.42740797996520996,-0.29,0.0,0.09,0.3
0.43036389350891113,-0.28,-0.01,0.17,0.32
0.4328320026397705,-0.27,0.03,0.22,0.34
0.43549609184265137,-0.27,0.1,0.34,0.44
0.439939022064209,-0.31,0.15,0.5,0.6
0.5015959739685059,-0.44,0.14,0.55,0.71
0.5033628940582275,-0.63,0.05,0.56,0.84
0.5056169033050537,-0.83,-0.09,0.62,1.03
0.5071520805358887,-1.04,-0.24,0.64,1.24
0.5103929042816162,-1.17,-0.31,0.5,1.3
0.5130569934844971,-1.16,-0.33,0.39,1.26
0.5157101154327393,-1.1,-0.31,0.37,1.2
0.5191690921783447,-1.02,-0.23,0.36,1.1
0.5298411846160889,-0.97,-0.1,0.4,1.05
0.5392448902130127,-0.94,0.03,0.54,1.08
0.6008570194244385,-0.94,0.16,0.63,1.14
0.6024949550628662,-1.03,0.26,0.48,1.16
0.6050679683685303,-1.06,0.3,0.14,1.11
0.6075839996337891,-1.08,0.31,-0.44,1.2
0.6093490123748779,-0.96,0.24,-0.73,1.22
0.6257030963897705,-0.77,0.04,-0.66,1.01
0.6272828578948975,-0.69,-0.25,-0.66,0.98
0.6295449733734131,-0.92,-0.39,-0.77,1.26
0.6323320865631104,-1.35,-0.49,-0.53,1.53
0.638469934463501,-1.76,-0.67,-0.01,1.88
0.7049648761749268,-2.17,-0.83,0.36,2.35
0.7067570686340332,-2.56,-0.83,0.58,2.75
0.7082719802856445,-2.95,-0.69,0.7,3.1
0.7111570835113525,-3.09,-0.48,0.86,3.24
0.7136340141296387,-3.1,-0.24,0.98,3.26
0.716264009475708,-3.14,0.12,1.08,3.32
0.7188661098480225,-3.02,0.61,1.21,3.31
0.7216050624847412,-2.43,1.06,1.17,2.89
0.7278239727020264,-1.12,1.3,0.9,1.93
