time,ax,ay,az,atotal
0.0013399124145507812,0.12,-0.04,-0.17,0.21
0.0031638145446777344,0.41,-0.12,-0.47,0.63
0.07099294662475586,0.6,-0.23,-0.66,0.92
0.07190084457397461,0.86,-0.2,-0.68,1.11
0.0822148323059082,0.93,-0.01,-0.48,1.04
0.08324575424194336,0.69,0.25,0.06,0.73
0.099822998046875,0.19,0.44,0.33,0.58
0.1009058952331543,-0.26,0.41,0.29,0.56
0.11484193801879883,-0.27,0.18,0.24,0.4
0.11574077606201172,0.02,0.02,0.2,0.2
0.13140392303466797,0.32,0.13,0.19,0.39
0.13241195678710938,0.37,0.24,0.09,0.45
0.20023679733276367,0.26,0.26,0.26,0.45
0.20105481147766113,0.23,0.15,0.38,0.46
0.2159419059753418,0.21,-0.13,0.07,0.25
0.21728897094726562,0.28,-0.34,-0.17,0.47
0.231719970703125,0.37,-0.3,-0.49,0.68
0.23303580284118652,0.28,-0.14,-0.6,0.67
0.2474207878112793,0.07,0.01,-0.48,0.48
0.24834775924682617,-0.26,0.01,-0.49,0.55
0.26710987091064453,-0.6,-0.07,-0.57,0.83
0.26817893981933594,-0.65,-0.1,-0.53,0.84
0.28191685676574707,-0.58,-0.13,-0.46,0.75
0.35189199447631836,-0.54,-0.13,-0.31,0.63
0.35297179222106934,-0.26,-0.14,-0.16,0.33
0.3669466972351074,0.17,-0.3,-0.19,0.39
0.3681769371032715,0.54,-0.38,-0.31,0.72
0.38236188888549805,0.35,-0.27,-0.5,0.66
0.3836019039154053,0.01,-0.15,-0.6,0.61
0.39756298065185547,-0.09,-0.03,-0.44,0.45
0.3984379768371582,-0.21,0.01,-0.25,0.32
0.41452598571777344,-0.36,-0.01,-0.18,0.4
0.41548967361450195,-0.28,0.0,-0.16,0.32
0.4837179183959961,-0.07,0.03,-0.08,0.11
0.4846508502960205,0.05,0.06,-0.24,0.25
0.5013399124145508,0.16,0.07,-0.26,0.31
0.5021967887878418,0.4,0.11,-0.16,0.44
0.5153827667236328,0.5,0.06,-0.29,0.58
0.5166878700256348,0.56,-0.02,-0.45,0.71
0.5324897766113281,0.62,-0.02,-0.54,0.82
0.533646821975708,0.64,-0.01,-0.58,0.86
0.5494368076324463,0.61,-0.02,-0.43,0.74
