time,ax,ay,az,atotal
0.0016531944274902344,-0.22,0.46,-0.41,0.65
0.0033740997314453125,-0.34,0.6,-0.53,0.86
0.07137298583984375,-0.68,0.68,-0.36,1.02
0.07230210304260254,-1.04,0.69,-0.09,1.25
0.08226418495178223,-1.39,0.64,0.15,1.53
0.08377814292907715,-1.58,0.63,0.28,1.72
0.10073208808898926,-1.6,0.69,0.31,1.76
0.10170602798461914,-1.57,0.83,0.36,1.81
0.11624526977539062,-1.55,0.93,0.38,1.84
0.1172022819519043,-1.53,0.94,0.27,1.81
0.1332840919494629,-1.36,0.83,0.1,1.59
0.13439512252807617,-1.01,0.76,-0.05,1.26
0.1970210075378418,-0.63,0.68,-0.15,0.93
0.197951078414917,-0.29,0.6,-0.2,0.69
0.2182321548461914,-0.12,0.54,-0.35,0.65
0.21913528442382812,-0.15,0.51,-0.47,0.7
0.23243308067321777,-0.33,0.59,-0.31,0.74
0.23380804061889648,-0.63,0.71,-0.03,0.94
0.24946022033691406,-0.91,0.84,0.1,1.24
0.25052714347839355,-1.11,0.91,0.16,1.44
0.26633310317993164,-1.22,0.9,0.26,1.53
0.26738715171813965,-1.09,0.66,0.48,1.36
0.32956910133361816,-0.73,0.41,0.57,1.01
0.3305792808532715,-0.41,0.32,0.5,0.72
0.33317017555236816,-0.35,0.4,0.34,0.63
0.35065412521362305,-0.56,0.55,0.3,0.84
0.3516812324523926,-1.01,0.56,0.45,1.23
0.36574316024780273,-1.44,0.42,0.59,1.61
0.36661410331726074,-1.66,0.16,0.63,1.78
0.3818702697753906,-1.68,-0.05,0.62,1.79
0.3828921318054199,-1.45,-0.19,0.64,1.59
0.39986705780029297,-0.92,-0.35,0.65,1.17
0.46271705627441406,-0.33,-0.45,0.47,0.72
0.46384215354919434,0.03,-0.41,0.28,0.49
0.4660310745239258,0.2,-0.32,0.22,0.43
0.4836750030517578,0.2,-0.17,0.18,0.31
0.48476696014404297,0.05,0.02,0.1,0.11
0.4990692138671875,-0.16,0.25,0.04,0.29
0.49998903274536133,-0.38,0.45,0.01,0.58
0.5170900821685791,-0.56,0.57,-0.04,0.8
0.5181570053100586,-0.71,0.67,-0.09,0.98
0.5331361293792725,-0.86,0.77,-0.18,1.16
0.5947742462158203,-1.0,0.86,-0.28,1.34
0.5958852767944336,-1.12,0.86,-0.46,1.48
0.5995092391967773,-1.06,0.68,-0.7,1.44
0.6003332138061523,-0.63,0.43,-0.86,1.14
0.6172561645507812,0.04,0.18,-0.95,0.96
0.6182901859283447,0.7,-0.07,-0.91,1.15
0.6349411010742188,1.2,-0.19,-0.9,1.51
0.6359572410583496,1.48,-0.28,-0.98,1.79
0.650266170501709,1.54,-0.35,-0.92,1.82
0.6513800621032715,1.38,-0.44,-0.62,1.57
0.6672451496124268,1.19,-0.52,-0.26,1.32
0.7292110919952393,1.0,-0.55,0.02,1.14
0.7303452491760254,0.83,-0.59,0.28,1.05
0.7329230308532715,0.79,-0.61,0.56,1.14
0.749351978302002,0.8,-0.59,0.69,1.21
0.7507340908050537,0.79,-0.57,0.72,1.21
0.7660541534423828,0.76,-0.49,0.65,1.11
0.766923189163208,0.65,-0.43,0.56,0.95
0.7835021018981934,0.55,-0.36,0.49,0.81
0.7845649719238281,0.52,-0.33,0.38,0.72
0.8002972602844238,0.52,-0.41,0.25,0.7
0.8618261814117432,0.65,-0.52,0.16,0.84
0.8630399703979492,0.82,-0.55,0.06,0.98
0.868556022644043,0.91,-0.5,-0.05,1.03
0.8698220252990723,0.88,-0.48,-0.14,1.01
0.8845090866088867,0.74,-0.49,-0.17,0.9
0.8856701850891113,0.59,-0.53,-0.15,0.8
0.8996641635894775,0.52,-0.54,-0.27,0.79
0.9005801677703857,0.45,-0.49,-0.39,0.77
0.9167170524597168,0.3,-0.42,-0.35,0.62
0.917722225189209,0.07,-0.34,-0.19,0.39
0.9780802726745605,-0.17,-0.28,-0.08,0.33
0.9790072441101074,-0.32,-0.23,-0.02,0.39
0.9830021858215332,-0.32,-0.2,-0.08,0.38
0.9837551116943359,-0.29,-0.11,-0.19,0.36
1.0007829666137695,-0.29,-0.01,-0.12,0.31
1.0019571781158447,-0.33,0.03,-0.1,0.34
1.0167710781097412,-0.47,0.08,-0.1,0.48
1.0177192687988281,-0.68,0.09,-0.02,0.68
1.0346570014953613,-0.74,0.03,-0.03,0.74
1.0357842445373535,-0.58,-0.04,-0.17,0.6
1.0956521034240723,-0.26,-0.12,-0.29,0.4
1.0967481136322021,0.03,-0.1,-0.34,0.35
1.1011362075805664,0.11,0.02,-0.28,0.3
1.1176221370697021,-0.02,0.13,-0.21,0.24
1.1187820434570312,-0.21,0.19,-0.11,0.3
1.1335382461547852,-0.4,0.21,0.05,0.45
1.1344671249389648,-0.56,0.23,0.17,0.62
1.1500372886657715,-0.69,0.28,0.22,0.77
1.150947093963623,-0.71,0.23,0.22,0.77
1.1661219596862793,-0.52,0.12,0.21,0.57
1.2275481224060059,-0.3,0.08,0.06,0.31
1.2286441326141357,-0.16,0.15,-0.24,0.32
1.2331321239471436,-0.14,0.21,-0.34,0.42
1.2340741157531738,-0.22,0.29,-0.36,0.51
1.2520780563354492,-0.46,0.37,-0.3,0.66
1.2531530857086182,-0.79,0.5,-0.13,0.94
1.2666449546813965,-1.09,0.62,-0.04,1.25
1.2675981521606445,-1.19,0.75,-0.38,1.45
1.283463954925537,-1.22,0.93,-0.61,1.65
1.2844610214233398,-1.29,1.24,-0.62,1.89
1.3447680473327637,-1.67,1.68,-0.69,2.46
1.3457701206207275,-2.14,1.97,-0.65,2.98
1.3500452041625977,-2.23,1.72,-0.3,2.83
1.3514161109924316,-2.01,1.54,0.14,2.53
1.3680782318115234,-1.55,1.72,-0.1,2.31
1.3691492080688477,-1.28,2.11,-0.51,2.52
1.3837699890136719,-1.0,2.44,-0.74,2.73
1.3846912384033203,-0.77,2.65,-1.03,2.94
1.4005532264709473,-0.74,2.92,-1.14,3.22
1.4016010761260986,-0.94,3.32,-1.12,3.62
1.461172103881836,-1.27,3.73,-1.14,4.1
1.4620800018310547,-1.65,4.03,-1.0,4.46
1.4665312767028809,-2.16,4.28,-0.6,4.83
1.4674320220947266,-2.58,4.53,-0.47,5.23
1.4843740463256836,-2.53,4.52,-0.62,5.21
1.4856650829315186,-2.01,4.46,-0.79,4.95
1.5003461837768555,-1.41,4.28,-0.71,4.56
1.5012502670288086,-0.82,3.89,-0.43,3.99
1.5169382095336914,-0.45,3.34,-0.2,3.37
1.5179409980773926,-0.24,2.59,-0.11,2.6
1.5774271488189697,0.03,1.74,-0.09,1.74
1.5783700942993164,0.31,1.08,-0.21,1.14
1.583296298980713,0.52,0.68,-0.35,0.92
1.584245204925537,0.53,0.47,-0.29,0.76
1.6021490097045898,0.37,0.25,-0.09,0.45
1.6033520698547363,0.11,-0.2,0.0,0.22
1.6199731826782227,-0.21,-0.88,0.02,0.9
1.620954990386963,-0.58,-1.54,0.01,1.64
1.634099006652832,-0.8,-2.15,-0.03,2.29
1.6351280212402344,-0.7,-2.68,-0.16,2.77
1.6503891944885254,-0.5,-2.94,-0.42,3.01
1.7111682891845703,-0.48,-3.17,-0.84,3.31
1.7122282981872559,-0.66,-3.48,-0.78,3.62
1.7166931629180908,-0.92,-3.9,-0.5,4.03
1.7175800800323486,-1.06,-4.31,-0.27,4.44
1.7348570823669434,-0.95,-4.61,0.09,4.7
1.7359561920166016,-0.64,-4.73,0.38,4.78
1.7503471374511719,-0.23,-4.79,0.54,4.82
1.7512271404266357,0.14,-4.7,0.85,4.77
1.7671122550964355,0.39,-4.52,1.13,4.67
1.7681522369384766,0.65,-4.23,1.4,4.5
1.8273420333862305,0.83,-3.93,1.79,4.39
1.8282980918884277,0.88,-3.59,2.08,4.24
1.8335051536560059,0.89,-3.25,2.28,4.06
1.83451509475708,0.87,-2.95,2.25,3.81
1.8515021800994873,0.83,-2.6,2.23,3.52
1.8527331352233887,0.76,-2.21,2.24,3.23
1.8670482635498047,0.67,-2.0,2.16,3.01
1.8679962158203125,0.47,-2.02,2.11,2.95
1.8834121227264404,0.29,-2.17,2.05,2.99
1.8844542503356934,0.2,-2.35,1.85,2.99
1.9441170692443848,0.23,-2.54,1.69,3.05
1.9450592994689941,0.23,-2.6,1.45,2.98
1.950270175933838,0.13,-2.67,1.13,2.9
1.9512481689453125,0.14,-2.68,1.21,2.94
1.9685239791870117,0.32,-2.54,1.47,2.95
1.969797134399414,0.54,-2.27,1.35,2.69
1.9839320182800293,0.73,-1.97,1.09,2.36
1.9847781658172607,0.87,-1.59,1.07,2.1
2.0002360343933105,0.94,-1.12,1.1,1.82
2.0012881755828857,0.95,-0.67,0.91,1.47
2.060605049133301,0.88,-0.3,0.65,1.13
2.0615601539611816,0.84,0.11,0.33,0.9
2.0669331550598145,0.81,0.52,-0.09,0.96
2.0679571628570557,0.77,0.91,-0.51,1.29
2.0860610008239746,0.66,1.27,-0.83,1.65
2.0870280265808105,0.52,1.47,-1.15,1.93
2.100722074508667,0.43,1.56,-1.34,2.1
2.1016221046447754,0.32,1.63,-1.36,2.14
2.1170291900634766,0.22,1.57,-1.31,2.05
2.1180262565612793,0.07,1.5,-1.21,1.92
2.178305149078369,-0.17,1.48,-0.98,1.78
2.17928409576416,-0.51,1.38,-0.61,1.59
2.1839170455932617,-0.85,1.14,-0.13,1.42
2.185835123062134,-0.99,0.73,0.3,1.26
2.2025651931762695,-0.92,0.3,0.51,1.09
2.2036781311035156,-0.74,-0.12,0.52,0.91
2.217367172241211,-0.52,-0.56,0.44,0.88
2.218240261077881,-0.32,-0.96,0.44,1.1
2.2340900897979736,-0.23,-1.26,0.47,1.36
2.235093116760254,-0.2,-1.44,0.61,1.57
2.295506000518799,-0.24,-1.53,0.8,1.74
2.2965049743652344,-0.37,-1.61,1.11,1.99
2.3004579544067383,-0.47,-1.75,1.41,2.29
2.3014769554138184,-0.5,-1.82,1.69,2.53
2.319009304046631,-0.59,-1.67,1.93,2.61
2.320101261138916,-0.73,-1.43,2.1,2.64
2.3340702056884766,-0.84,-1.02,2.34,2.68
2.33493709564209,-0.96,-0.58,2.66,2.88
2.350389003753662,-0.96,-0.13,2.8,2.96
2.3512682914733887,-0.75,0.29,2.47,2.59
2.412215232849121,-0.59,0.6,1.99,2.16
2.4131901264190674,-0.51,0.66,1.7,1.89
2.4172091484069824,-0.48,0.68,1.34,1.57
2.418185234069824,-0.36,0.9,0.82,1.26
2.4351630210876465,-0.11,1.21,0.16,1.22
2.436500072479248,0.28,1.43,-0.45,1.52
2.451122283935547,0.73,1.49,-1.15,2.01
2.451958179473877,1.15,1.45,-1.87,2.63
2.4671101570129395,1.45,1.39,-2.47,3.18
2.4681761264801025,1.68,1.22,-2.97,3.62
2.5295650959014893,1.87,1.01,-3.44,4.04
2.530567169189453,1.99,0.85,-3.82,4.39
