time,ax,ay,az,atotal
0.002615213394165039,0.31,0.02,-0.29,0.42
0.012520313262939453,0.59,-0.23,-0.59,0.86
0.04097437858581543,0.08,0.2,-0.44,0.48
0.04357123374938965,0.01,0.38,-0.32,0.49
0.0452733039855957,0.0,0.19,-0.39,0.43
0.05197334289550781,-0.03,0.08,-0.15,0.17
0.06207132339477539,0.19,-0.01,0.25,0.31
0.07197117805480957,0.26,-0.02,0.54,0.59
0.08179831504821777,0.0,0.08,0.42,0.42
0.09213829040527344,-0.23,0.17,0.26,0.38
0.10168623924255371,-0.28,0.18,0.17,0.37
0.11167240142822266,-0.25,0.12,-0.05,0.28
0.14574933052062988,-0.2,0.05,-0.22,0.3
0.14832639694213867,-0.25,0.09,-0.3,0.4
0.1499783992767334,-0.19,0.09,-0.18,0.27
0.15265631675720215,-0.2,0.04,-0.1,0.22
0.16149234771728516,-0.51,-0.04,0.04,0.51
0.1715404987335205,-0.74,-0.22,0.11,0.77
0.18166851997375488,-0.89,-0.38,0.14,0.97
0.19107651710510254,-1.02,-0.44,0.25,1.13
0.20115351676940918,-0.95,-0.32,0.13,1.01
0.21121740341186523,-0.67,-0.19,-0.05,0.69
0.2444913387298584,-0.43,-0.19,-0.1,0.48
0.24705243110656738,-0.27,-0.16,-0.06,0.31
0.24879932403564453,-0.16,-0.02,-0.1,0.18
0.2512493133544922,-0.12,0.06,-0.17,0.21
0.260939359664917,-0.07,0.04,-0.04,0.09
0.27100539207458496,-0.01,0.1,0.09,0.13
0.2806663513183594,-0.02,0.12,0.01,0.12
0.2904012203216553,-0.05,0.07,-0.04,0.09
0.30028223991394043,-0.13,0.03,0.02,0.13
0.3109853267669678,-0.17,-0.04,0.08,0.19
0.34538817405700684,-0.24,-0.22,0.05,0.32
0.347642183303833,-0.4,-0.25,0.0,0.47
0.3493974208831787,-0.56,-0.19,-0.01,0.59
0.3520193099975586,-0.66,-0.19,0.0,0.68
0.3600904941558838,-0.78,-0.21,0.0,0.8
0.3699023723602295,-0.94,-0.2,0.06,0.96
0.3796813488006592,-1.14,-0.2,0.17,1.16
0.38992929458618164,-1.4,-0.27,0.31,1.45
0.3998534679412842,-1.72,-0.45,0.46,1.83
0.40989232063293457,-2.08,-0.64,0.78,2.31
0.4438974857330322,-2.5,-0.71,1.15,2.84
0.44609737396240234,-2.88,-0.81,1.27,3.25
0.44787144660949707,-3.08,-1.09,1.11,3.45
0.4506032466888428,-3.21,-1.48,0.86,3.63
0.4592292308807373,-3.51,-1.8,0.51,3.97
0.4694232940673828,-4.35,-1.68,-0.36,4.67
0.47935938835144043,-4.72,-1.76,-1.14,5.16
0.4889683723449707,-4.41,-2.54,-1.11,5.2
0.4989144802093506,-3.67,-2.96,-1.01,4.82
0.5092341899871826,-3.12,-2.64,-1.19,4.25
0.5192553997039795,-2.78,-2.3,-0.93,3.72
0.5477433204650879,-2.51,-2.42,-0.57,3.53
0.54978346824646,-2.7,-2.47,0.01,3.65
0.5532793998718262,-2.77,-2.11,0.38,3.5
0.5584793090820312,-3.15,-0.99,0.06,3.3
0.5715272426605225,-4.43,0.32,-0.23,4.44
0.5786254405975342,-5.19,1.08,0.66,5.34
0.5887324810028076,-4.43,1.11,2.02,4.99
0.5986843109130859,-3.46,1.01,2.34,4.29
0.6083095073699951,-3.15,1.11,2.17,3.98
0.6181814670562744,-3.33,1.39,2.53,4.4
0.6460263729095459,-3.6,1.79,3.36,5.23
0.6481053829193115,-3.91,2.26,3.99,6.02
0.6504771709442139,-4.2,2.39,4.2,6.4
0.6578273773193359,-4.37,2.36,4.19,6.49
0.6677513122558594,-4.11,2.04,4.11,6.16
0.6777322292327881,-3.61,1.38,3.77,5.39
0.6875894069671631,-3.1,0.61,3.41,4.64
0.6978483200073242,-2.47,-0.19,3.17,4.02
0.707538366317749,-1.81,-0.86,2.84,3.47
0.7176554203033447,-1.11,-1.33,2.45,3.0
0.7446243762969971,-0.42,-1.7,1.92,2.59
0.7467124462127686,0.19,-1.9,1.21,2.26
0.749075174331665,0.73,-1.94,0.59,2.15
0.7572643756866455,1.28,-1.74,0.13,2.16
0.7673523426055908,1.76,-1.43,-0.08,2.26
0.7773435115814209,2.14,-1.27,-0.38,2.51
0.7871263027191162,2.51,-1.41,-0.75,2.97
0.7971603870391846,2.96,-1.69,-1.09,3.57
0.8069522380828857,3.16,-1.81,-1.35,3.88
0.8168833255767822,3.0,-1.52,-1.45,3.66
0.84560227394104,2.66,-0.95,-1.28,3.1
0.8475854396820068,2.37,-0.45,-0.86,2.56
0.8499042987823486,2.11,-0.15,-0.67,2.21
0.8564283847808838,2.02,-0.05,-0.84,2.18
0.8664653301239014,2.37,-0.1,-1.2,2.65
0.8764383792877197,2.7,-0.13,-1.53,3.1
0.8862931728363037,2.67,-0.23,-1.55,3.09
0.8962562084197998,2.43,-0.36,-1.13,2.7
0.9063034057617188,2.1,-0.3,-0.65,2.21
0.9162414073944092,2.0,-0.03,-0.51,2.06
0.9500293731689453,2.06,0.3,-0.74,2.2
0.9520843029022217,2.2,0.5,-1.02,2.47
0.9538023471832275,2.5,0.55,-1.16,2.81
0.9565832614898682,2.75,0.47,-1.39,3.11
0.9657633304595947,2.79,0.34,-1.77,3.32
0.975811243057251,1.76,0.22,-2.94,3.43
0.9854624271392822,-0.75,-0.02,-4.16,4.22
0.995746374130249,1.55,-1.3,-1.8,2.7
