time,ax,ay,az,atotal
0.04635286331176758,-0.17,0.22,-0.15,0.31
0.04815077781677246,-0.06,0.09,-0.09,0.14
0.049707889556884766,0.03,0.03,-0.07,0.08
0.05240583419799805,0.01,0.02,0.06,0.06
0.05496978759765625,-0.03,-0.02,0.02,0.04
0.0565037727355957,-0.02,0.03,-0.06,0.06
0.07289695739746094,0.01,0.16,-0.01,0.16
0.07456684112548828,0.02,0.17,0.01,0.17
0.0834968090057373,0.01,0.07,0.01,0.07
0.09418678283691406,-0.06,0.01,0.03,0.06
0.14254283905029297,-0.14,0.04,0.08,0.16
0.144378662109375,-0.19,0.17,0.15,0.29
0.14587688446044922,-0.21,0.23,0.19,0.36
0.14891290664672852,-0.18,0.19,0.16,0.3
0.15158891677856445,-0.12,0.13,0.1,0.2
0.15428972244262695,-0.02,0.1,0.06,0.11
0.16297388076782227,0.08,0.09,0.04,0.12
0.17302370071411133,0.1,0.1,0.02,0.14
0.18332767486572266,0.07,0.12,0.01,0.13
0.1932697296142578,-0.01,0.13,0.02,0.13
0.2419109344482422,-0.11,0.12,0.03,0.16
0.2437429428100586,-0.19,0.11,0.04,0.22
0.24524283409118652,-0.22,0.08,0.05,0.23
0.24823570251464844,-0.21,0.05,-0.01,0.21
0.2507898807525635,-0.21,0.01,-0.09,0.22
0.25299882888793945,-0.18,-0.02,-0.14,0.22
0.2626938819885254,-0.13,-0.01,-0.16,0.2
0.27237486839294434,-0.07,0.01,-0.1,0.12
0.28261470794677734,0.01,0.03,-0.1,0.1
0.2924478054046631,0.08,0.04,-0.06,0.1
0.34594082832336426,0.17,0.02,0.01,0.17
0.3476548194885254,0.22,0.03,0.03,0.22
0.3491628170013428,0.23,0.08,0.07,0.25
0.35213565826416016,0.24,0.14,0.12,0.3
0.35471677780151367,0.2,0.19,0.18,0.32
0.3562016487121582,0.14,0.2,0.19,0.3
0.37300777435302734,0.12,0.19,0.28,0.35
0.37463879585266113,0.09,0.2,0.36,0.42
0.3815736770629883,0.04,0.22,0.34,0.4
0.39175891876220703,0.0,0.22,0.29,0.36
0.44563770294189453,-0.11,0.23,0.23,0.34
0.44739866256713867,-0.23,0.13,0.18,0.31
0.44889187812805176,-0.36,0.04,0.14,0.38
0.45181894302368164,-0.41,0.03,0.18,0.44
0.4555637836456299,-0.33,0.07,0.21,0.39
0.4574756622314453,-0.27,0.17,0.22,0.38
0.4732856750488281,-0.16,0.27,0.22,0.38
0.4747037887573242,-0.02,0.35,0.18,0.39
0.4808497428894043,0.06,0.36,0.23,0.43
0.49094200134277344,0.17,0.27,0.23,0.39
0.5444188117980957,0.23,0.16,0.28,0.39
0.5460748672485352,0.21,0.02,0.35,0.4
0.5476107597351074,0.12,0.0,0.44,0.45
0.5501847267150879,0.09,0.08,0.62,0.63
0.5528616905212402,0.2,0.18,0.59,0.64
0.5543179512023926,0.23,0.21,0.37,0.48
0.5603768825531006,0.17,0.16,0.26,0.34
0.5702998638153076,0.09,0.14,0.09,0.18
0.5806257724761963,-0.03,0.09,0.08,0.12
0.5901198387145996,-0.27,0.09,0.27,0.39
0.6444549560546875,-0.37,0.09,0.36,0.52
0.6461808681488037,-0.26,0.05,0.25,0.36
0.6477689743041992,-0.15,0.06,0.23,0.28
0.6504826545715332,-0.02,0.12,0.09,0.15
0.6530108451843262,0.27,0.14,0.04,0.3
0.6544408798217773,0.52,0.1,0.21,0.56
0.6597247123718262,0.77,0.06,0.23,0.8
0.6695377826690674,0.95,0.01,0.18,0.96
0.6800689697265625,0.94,0.0,0.22,0.96
0.6900548934936523,0.9,0.03,0.29,0.94
0.6998639106750488,0.92,0.04,0.33,0.97
0.7471456527709961,0.91,0.13,0.44,1.01
0.7491507530212402,0.8,0.24,0.57,1.01
0.7505707740783691,0.54,0.4,0.65,0.93
0.755612850189209,0.14,0.54,0.83,1.0
0.7575669288635254,-0.22,0.65,0.9,1.13
0.7602429389953613,-0.59,0.69,0.74,1.17
0.768913745880127,-0.96,0.66,0.39,1.22
0.7793757915496826,-1.18,0.52,0.22,1.3
0.7889947891235352,-1.23,0.31,0.25,1.29
0.7988348007202148,-1.27,0.2,0.32,1.32
0.8466486930847168,-1.34,0.2,0.42,1.41
0.8487749099731445,-1.49,0.34,0.67,1.66
0.8503818511962891,-1.74,0.57,0.7,1.96
0.8531608581542969,-1.98,0.72,0.8,2.25
0.854672908782959,-2.26,0.73,1.11,2.62
0.8584458827972412,-2.34,0.63,1.31,2.75
0.8686428070068359,-2.25,0.56,0.88,2.48
0.8784778118133545,-1.95,0.5,0.87,2.19
0.8883018493652344,-1.15,0.24,0.65,1.34
0.898749828338623,-0.86,0.13,0.0,0.86
0.9460439682006836,-0.75,0.37,0.33,0.89
0.948030948638916,-0.24,0.61,0.43,0.78
0.949516773223877,0.33,0.66,-0.03,0.73
0.9523787498474121,0.66,0.52,-0.06,0.84
0.9550657272338867,0.47,0.4,0.05,0.61
0.9580438137054443,0.18,0.35,0.1,0.4
0.9742999076843262,0.17,0.17,0.08,0.25
0.9775588512420654,0.23,-0.02,0.01,0.23
0.9875869750976562,0.27,-0.06,-0.26,0.37
