time,ax,ay,az,atotal
0.0017719268798828125,0.47,0.02,-0.02,0.47
0.0029358863830566406,0.22,0.17,-0.21,0.34
0.004127979278564453,0.04,0.08,0.06,0.1
0.007562875747680664,-0.05,-0.08,0.13,0.16
0.008751869201660156,-0.15,-0.11,-0.04,0.19
0.02695178985595703,-0.15,0.02,-0.09,0.17
0.02811288833618164,-0.13,0.09,-0.06,0.16
0.02936697006225586,-0.13,0.11,-0.03,0.17
0.033566951751708984,-0.16,0.1,-0.06,0.19
0.04357790946960449,-0.08,-0.01,-0.08,0.11
0.09968709945678711,0.05,0.05,-0.12,0.13
0.10108280181884766,0.18,0.03,-0.3,0.35
0.10227298736572266,0.17,-0.08,-0.38,0.42
0.1049799919128418,0.12,-0.08,-0.31,0.34
0.10721683502197266,0.1,-0.02,-0.22,0.24
0.10915899276733398,0.11,0.09,-0.19,0.23
0.1269240379333496,0.2,0.12,-0.17,0.28
0.12826895713806152,0.26,0.06,-0.21,0.33
0.13284778594970703,0.23,-0.04,-0.32,0.39
0.14280390739440918,0.17,-0.06,-0.36,0.4
0.19870710372924805,0.18,-0.02,-0.34,0.38
0.20006608963012695,0.16,0.05,-0.41,0.44
0.2011728286743164,0.08,0.16,-0.63,0.65
0.20410776138305664,-0.06,0.16,-0.56,0.58
0.20648908615112305,-0.03,0.0,-0.38,0.38
0.2084519863128662,0.11,-0.08,-0.5,0.51
0.2125859260559082,0.13,-0.05,-0.59,0.6
0.22234010696411133,0.2,-0.04,-0.48,0.52
0.23265409469604492,0.42,-0.07,-0.43,0.6
0.24217796325683594,0.55,-0.03,-0.24,0.6
0.2976369857788086,0.69,0.03,-0.13,0.7
0.2989840507507324,0.79,0.04,-0.31,0.84
0.3001670837402344,0.8,0.1,-0.46,0.92
0.30307579040527344,1.0,0.1,-0.54,1.14
0.3053429126739502,1.4,-0.11,-0.74,1.58
0.30789899826049805,1.85,-0.5,-0.64,2.02
0.31182289123535156,2.79,-0.91,-0.01,2.93
0.3287808895111084,4.0,-1.2,0.1,4.17
0.33159589767456055,4.93,-1.09,0.23,5.05
0.341519832611084,5.25,-0.62,0.51,5.31
0.35151195526123047,4.66,-0.13,0.31,4.67
0.40171098709106445,4.03,-0.01,0.57,4.07
0.4032769203186035,4.27,-0.16,0.84,4.35
0.4044780731201172,4.58,-0.23,0.76,4.64
0.4077749252319336,4.4,-0.14,0.36,4.41
0.40890979766845703,3.88,0.17,-0.22,3.88
0.42722082138061523,3.28,0.41,-0.44,3.33
0.4284379482269287,2.82,0.37,-0.56,2.89
